x_value,total_1,total_2
0,1000,1000
1,998,1004
2,1006,1008
3,1014,1012
4,1010,1013
5,1016,1018
6,1018,1017
7,1021,1022
8,1020,1028
9,1016,1031
10,1015,1031
11,1018,1029
12,1024,1030
13,1024,1032
14,1029,1036
15,1024,1037
16,1021,1036
17,1021,1032
18,1024,1036
19,1019,1041
20,1025,1043
21,1033,1038
22,1030,1038
23,1027,1036
24,1021,1031
25,1021,1034
26,1015,1037
27,1015,1038
28,1012,1042
29,1019,1038
30,1022,1044
31,1030,1045
32,1027,1041
33,1031,1043
34,1036,1044
35,1032,1047
